type,slug,image_url,hero_image_url,portrait_url,tagline,quote,city,country,source_url
perfume,dior-joy-by-dior,,,,,,,France,
perfume,etro-relent,,,,,,,Italy,
perfume,fugazzi-mood-swings,,,,,,,Netherlands,
perfume,illuminum-ginger-pear,,,,,,,UK,
perfume,tommy-hilfiger-true-star-gold,,,,,,,USA,
perfume,kenzo-l-eau-kenzo-pour-femme-hyper-wave,,,,,,,France,
perfume,brocard-nezhnost,,,,,,,Russia,
perfume,zara-11-0-zara,,,,,,,Spain,
perfume,faberlic-jolie-jolie,,,,,,,Russia,
perfume,iceberg-iceberg-effusion-man,,,,,,,Italy,
perfume,brocard-the-princess-knazna,,,,,,,Russia,
perfume,usher-usher-she,,,,,,,USA,
perfume,bortnikoff-vetiver-nocturne-absolu,,,,,,,Thailand,
perfume,zara-luminous-nectar,,,,,,,Spain,
perfume,borntostandout-sex-cognac,,,,,,,South Korea,
perfume,gilles-cantuel-arsenal-black,,,,,,,France,
perfume,bronnley-exotic-embers,,,,,,,UK,
perfume,guess-bella-vita-paradiso,,,,,,,USA,
perfume,id-parfums-jardin-d-antalya,,,,,,,France,
perfume,cafe-parfums-cafe-iced-pour-homme,,,,,,,France,
perfume,jean-patou-caline,,,,,,,France,
perfume,arno-sorel-shaman,,,,,,,France,
perfume,playboy-play-it-wild-for-him,,,,,,,USA,
perfume,the-house-of-oud-wabisabi,,,,,,,Italy,
perfume,spirit-of-kings-hadar,,,,,,,UK,
perfume,mizensir-rose-exaltante,,,,,,,Switzerland,
